,Date,Time,MMSI,Lon,Lat,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD,Destination
351,2024-02-24,09:32:23,440504560.0,126.20987204640129,37.158635547615006,185.0,0.10288,HERCULES LEADER,PCC,0.0,0.0,0.0,0.0,CN ZOS
352,2024-02-24,09:32:08,440504600.0,126.62379667,35.978325,352.7,0.0,MATSON MAUI,CONTAINER,0.0,0.0,0.0,0.0,CNNGB
353,2024-02-24,09:32:08,440504800.0,126.62313333,35.97831667,167.3,0.0,YUAN AN HU,PRODUCT_TANKER,18.0,23.0,7.0,5.0,NING BO
354,2024-02-24,09:32:08,440504860.0,126.62287833,35.97809667,290.0,0.0,ATLANTIC MUSE,CHEMICAL_TANKER,10.0,22.0,4.0,5.0,"ZHOUSHAN,CHINA"
355,2024-02-24,09:32:11,440504910.0,126.33090217533058,36.227542166061994,287.8,0.8744799999999999,KUN PENG,CHEMICAL_TANKER,0.0,0.0,0.0,0.0,OPL TAIPEI
356,2024-02-24,09:32:07,440505720.0,126.38439859204782,35.912766720780084,177.5,2.41768,PNX CONQUEROR,LPG,0.0,0.0,0.0,0.0,ULSAN
357,2024-02-24,09:32:09,440505770.0,125.83529902827314,36.0672392246423,94.0,1.85184,HAI ZHI RUN 17,PRODUCT_TANKER,0.0,0.0,0.0,0.0,N B  ZHEN HAI
358,2024-02-24,09:32:08,440505980.0,126.62240167,35.97825167,152.0,0.0,PACIFIC LOYALTY,TANKER,0.0,0.0,0.0,0.0,ZHOUSHAN CHINA
359,2024-02-24,09:32:11,440507120.0,126.31187059451189,36.23608981413355,195.5,0.46296,XING NING 75,BULK,0.0,0.0,0.0,0.0,ZHOUSHAN
360,2024-02-24,09:32:07,440507170.0,126.53163317966289,35.934492515076485,137.5,0.05144,KUN PENG,CHEMICAL_TANKER,0.0,0.0,0.0,0.0,OPL TAIPEI
361,2024-02-24,09:32:08,440507180.0,126.1907087901954,35.98565063845199,343.3,1.0288,EBBA MAERSK,CONTAINER,0.0,0.0,0.0,0.0,AEJAL > CNNBG
362,2024-02-24,09:32:08,440510250.0,126.68838333,36.00654333,335.7,0.0,CHANG HANG FEI CUI,PRODUCT_TANKER,0.0,0.0,0.0,0.0,KEELUNG  TAIWAN
363,2024-02-24,09:32:08,440510770.0,126.65848167,35.99158833,241.5,0.0,JIN HAI ZHENG,BULK,0.0,0.0,0.0,0.0,PEMANCINGAN
364,2024-02-24,09:32:06,440510790.0,125.5139228824586,35.89143543884697,184.7,3.75512,CHINACOASTGUARD2502,ETC,0.0,0.0,0.0,0.0,
365,2024-02-24,09:32:26,440525000.0,126.55996121430458,37.41268656219767,212.0,6.995839999999999,CHINA ENERGY,BULK,97.0,32.0,10.0,10.0,ZHOUSHAN
366,2024-02-24,09:32:22,440564000.0,126.40643333,37.04108333,340.0,0.0,CLIPPER HONG KONG,BULK,82.0,15.0,8.0,9.0,CNZOS
367,2024-02-24,09:32:08,440700310.0,126.18466103706923,35.982282687811434,307.0,4.78392,WAKATAKE MARU,ETC,0.0,0.0,0.0,0.0,>TW KEL
368,2024-02-24,09:32:20,440715600.0,126.85688333,36.94116667,78.7,0.0,YI CHEN 68,ETC,8.0,13.0,5.0,9.0,ZHOU SHAN
369,2024-02-24,09:32:21,440800498.0,126.81943459584221,36.99039825946964,127.4,0.20576,FPMC S AMBER,CHEMICAL_TANKER,0.0,0.0,0.0,0.0,"NINGBO,CN"
370,2024-02-24,09:32:08,440843000.0,126.566805,35.975815,282.4,0.0,NAN FENG ZHI XING,ETC,25.0,71.0,3.0,12.0,FOR  ORDERS
371,2024-02-24,09:32:21,441103000.0,126.40526367320113,37.03614174600175,140.0,0.05144,YM MATURITY,CONTAINER,73.0,24.0,4.0,12.0,CN NGB>CN XMN
372,2024-02-24,09:32:21,441198000.0,126.13768482021997,36.993040695329505,72.4,6.43,MOUNT GOWER,BULK,90.0,32.0,11.0,8.0,CNZOS
373,2024-02-24,09:32:21,441200000.0,126.82547,36.98099167,140.0,0.0,OOCL GENOA,CONTAINER,35.0,164.0,8.0,24.0,HKHKG>CNTXG
374,2024-02-24,09:32:20,441217000.0,126.85562501095694,36.94215169266218,358.3,0.05144,YUSHO MERMAID 2,CARGO,15.0,26.0,6.0,6.0,JP OSA
375,2024-02-24,09:32:25,441283000.0,126.629905,37.341655,131.2,0.0,YUN DING 22,CHEMICAL_TANKER,112.0,29.0,18.0,7.0,C J K
376,2024-02-24,09:32:21,441347000.0,126.72877082436987,36.989660721447315,295.1,0.05144,XING LONG ZHOU  998,TANKER,87.0,23.0,6.0,11.0,ZHOU SHAN
377,2024-02-24,09:32:21,441361000.0,126.34336156310046,37.00800555567722,158.0,0.05144,HENG HUI YONG SHENG,CHEMICAL_TANKER,90.0,21.0,8.0,10.0,ZHOUSHAN
378,2024-02-24,09:32:25,441587000.0,126.41403820680063,37.32344421586826,169.0,0.15431999999999998,EVER SALUTE,CONTAINER,94.0,18.0,9.0,9.0,TW KHH > CN NGB
379,2024-02-24,09:32:21,441601000.0,126.40001,37.02033,52.3,0.0,BULAN,BULK,107.0,21.0,10.0,10.0,KEELUNG
380,2024-02-24,09:32:17,441663000.0,126.13284167,36.674425,0.0,0.0,OSG BOSSTEC,CONTAINER,0.0,0.0,0.0,0.0,KEL
381,2024-02-24,09:32:22,441674000.0,126.51054,37.06504333,0.0,0.0,NEW BLISS,BULK,195.0,30.0,16.0,16.0,JP KNM OFF
382,2024-02-24,09:32:08,441735000.0,126.566445,35.97621667,278.5,0.0,EVER FORTUNE,CARGO,0.0,0.0,0.0,0.0,CN DMY
383,2024-02-24,09:32:12,441755000.0,126.34526836551836,36.29642694154945,329.3,2.10904,GLORY VOYAGER,CARGO,8.0,30.0,5.0,5.0,NINGBO
384,2024-02-24,09:32:21,441765000.0,126.72339167,36.99107333,106.9,0.0,SONGA BREEZE,CHEMICAL_TANKER,67.0,14.0,6.0,7.0,SINGAPORE
385,2024-02-24,09:32:17,441810000.0,126.20082830037768,36.67916339109956,250.7,0.05144,HAIFENG 618,CARGO,10.0,12.0,3.0,3.0,ZHOU SHAN CN
386,2024-02-24,09:32:21,441890000.0,126.31495167,37.02816865370946,0.0,0.05144,CSC RISINGSUN,PRODUCT_TANKER,83.0,23.0,9.0,8.0,MAZHI
387,2024-02-24,09:32:21,441967000.0,126.35673333,37.022725,0.0,0.0,WAN HAI 622,CONTAINER,71.0,21.0,12.0,3.0,CNNGB
388,2024-02-24,09:32:22,441969000.0,126.50287202626372,37.06771130373629,135.0,0.05144,COSCO PLANET,CONTAINER,252.0,37.0,25.0,20.0,CNTAO
